,CITY_ID,SHEM_YISHU,SRt_05-03,N_05-03,SRt_05-02,N_05-02,SRt_05-01,N_05-01,SRt_04-30,N_04-30,SRt_04-29,N_04-29,SRt_04-28,N_04-28,SRt_04-27,N_04-27,SRt_04-26,N_04-26,SRt_04-25,N_04-25,SRt_04-24,N_04-24,SRt_04-23,N_04-23,SRt_04-22,N_04-22,SRt_04-21,N_04-21,SRt_04-20,N_04-20,SRt_04-19,N_04-19,SRt_04-18,N_04-18,SRt_04-17,N_04-17,SRt_04-16,N_04-16,SRt_04-15,N_04-15,SRt_04-14,N_04-14,SRt_04-13,N_04-13,SRt_04-12,N_04-12,SRt_04-11,N_04-11,SRt_04-10,N_04-10,SRt_04-09,N_04-09,SRt_04-08,N_04-08,SRt_04-07,N_04-07,SRt_04-06,N_04-06,SRt_04-05,N_04-05,SRt_04-04,N_04-04,SRt_04-03,N_04-03,SRt_04-02,N_04-02,SRt_04-01,N_04-01,SRt_03-31,N_03-31,SRt_03-30,N_03-30,SRt_03-29,N_03-29,SRt_03-28,N_03-28,SRt_03-27,N_03-27,SRt_03-26,N_03-26,SRt_03-25,N_03-25,SRt_03-24,N_03-24,SRt_03-23,N_03-23,SRt_03-22,N_03-22,SRt_03-21,N_03-21
0,44,אשדוד,0.012637506703845029,313.0,0.016113009055006018,523.0,0.01629863566231176,533.0,0.014862242946057803,548.0,0.016106413702071026,902.0,0.016018646881959017,1046.0,0.015351318156570863,1414.0,0.016373673850577062,1506.0,0.018203576998580277,1406.0,0.01774524450990967,1424.0,0.018151519966175738,1425.0,0.019843368502236256,1130.0,0.021055508691123683,1034.0,0.022150059682690324,718.0,0.021184014633167138,713.0,0.02161398342005531,824.0,0.022365507793602055,869.0,0.02391813694999126,1010.0,0.0245448599413413,983.0,0.027045719084973285,1109.0,0.02984685556634122,1468.0,0.029126375569640494,1849.0,0.030151695720571563,2094.0,0.030612735938496272,2282.0,0.031615840778553596,2176.0,0.033150784849560674,2515.0,0.0327493070225269,2374.0,0.03172474420862909,2068.0,0.035575352378300416,1666.0,0.03744450639519476,1408.0,0.04146987611517119,1269.0,0.04037200408251828,1259.0,0.04091551177085652,1016.0,0.042653198134427917,1012.0,0.04450215079484954,896.0,0.04404670282672451,764.0,0.04217281574749024,715.0,0.0390013236084617,655.0,0.040012813488410855,613.0,0.04082055310687735,491.0,0.04314823721198381,571.0,0.04672888233736931,645.0,0.04894353253857723,702.0,0.04996295649732148,631.0
1,93,תל מונד,0.006608572253775603,236.0,0.009261304236824702,293.0,0.009007471428418484,298.0,0.009116965675404213,307.0,0.0108266621658954,411.0,0.010029795272792968,443.0,0.010343525105029285,547.0,0.01035817560564201,568.0,0.008325273110742699,511.0,0.008207236709982527,521.0,0.00800486434903743,532.0,0.006500071676517902,451.0,0.006622890587245579,425.0,0.00538670277316618,360.0,0.005080937934316829,366.0,0.00594677737014815,387.0,0.006048554066969565,405.0,0.0071646115397540665,440.0,0.006943671581108841,433.0,0.008824695130739293,443.0,0.010234992826654028,479.0,0.015615304019451689,540.0,0.018759748884224794,561.0,0.01981719530999889,565.0,0.02058073044038542,534.0,0.023812227556249732,575.0,0.023099147585463137,577.0,0.025618462180149584,552.0,0.02319514518606952,493.0,0.0203385814704605,474.0,0.020156817144121444,459.0,0.021414878964729937,450.0,0.021046585660046704,418.0,0.02430854706684622,385.0,0.022482071298073652,329.0,0.024015437293327266,267.0,0.026314833487715798,236.0,0.03354532179233653,232.0,0.03380763419556153,207.0,,,,,,,0.045572784511783586,205.0,,
2,148,גני תקווה,0.010362188102932808,279.0,0.011856951925034605,391.0,0.011650794840178613,389.0,0.01118108331171931,392.0,0.012808601309864429,522.0,0.013441158986086395,651.0,0.011556036579964884,764.0,0.010926376851655229,796.0,0.010786397371205203,663.0,0.010343276203905592,680.0,0.01131762714832861,689.0,0.01193381519615345,578.0,0.014363192141645421,532.0,0.015383213251344506,429.0,0.015545953400336075,417.0,0.014717252926623372,442.0,0.016368873672989868,467.0,0.01730067223066579,504.0,0.01995131072834711,489.0,0.018641735563660878,509.0,0.019953495947138414,559.0,0.022977430194074226,650.0,0.024797960241029104,700.0,0.026371397005448993,710.0,0.026721839131744363,688.0,0.02829825024814389,778.0,0.030668506676021997,761.0,0.03181882248740928,724.0,0.033141855991678015,641.0,0.03222109037624045,599.0,0.032321238680920156,580.0,0.03273118141763073,576.0,0.033685177337214336,506.0,0.03225071209680218,469.0,0.03304496427430862,401.0,0.034652428980034566,330.0,0.04596347062297554,292.0,0.048228073115988576,268.0,0.053255276285928535,229.0,,,,,0.053394717031477454,228.0,0.05218966548714779,265.0,0.04814308409198933,222.0
3,695,מבשרת ציון,0.0046126216255349605,338.0,0.00578200707342267,397.0,0.00559258221354586,410.0,0.00526445821578728,415.0,0.007046383123375464,486.0,0.0070390037251292815,557.0,0.008795950583951101,627.0,0.00838171730159597,638.0,0.007767148767510702,570.0,0.008557724398684756,583.0,0.00811385087570254,615.0,0.0063584921505381335,567.0,0.005434201557982152,579.0,0.003958564308441141,552.0,0.003890230085659212,579.0,0.005488404103723046,617.0,0.005907038744003008,663.0,0.008232651426275847,668.0,0.008961770876830569,676.0,0.011550771171163907,675.0,0.013267558340110203,713.0,0.0157898079940228,769.0,0.016336778849243925,806.0,0.019078551790341566,782.0,0.018508776146588576,758.0,0.020272173286217676,793.0,0.021924151264039272,786.0,0.024158781702038584,743.0,0.02618559571485979,683.0,0.027364009649688215,651.0,0.02591033367997976,657.0,0.026490223597950335,661.0,0.02675180364763427,652.0,0.025922670402018316,622.0,0.02531409144750674,546.0,0.024584100746703048,465.0,0.03025106871820677,408.0,0.035289219787495434,387.0,0.04011381958247058,334.0,0.04745573834608473,272.0,0.048869043077728984,265.0,0.047919414500787336,323.0,0.049685626320385444,344.0,0.051659754767053256,312.0
4,764,כרמיאל,0.011599103069906986,232.0,0.017882449121948876,327.0,0.019024591167908503,326.0,0.01867125668822851,339.0,0.0186888634395668,513.0,0.019669266052892227,600.0,0.02237003558741524,741.0,0.02273910269542389,776.0,0.021865855437085795,681.0,0.02064040545510339,699.0,0.020715921851221942,709.0,0.018615118873181492,575.0,0.02045038779932748,523.0,0.01892735336146808,422.0,0.02078964902597823,414.0,0.020057487719542112,442.0,0.023467526077308655,456.0,0.023174229436384003,490.0,0.024545716720607687,469.0,0.02493377959617823,507.0,0.02605224019855158,599.0,0.026293648577540484,741.0,0.02912214993853713,820.0,0.02829358145648192,877.0,0.02845013957613385,843.0,0.02928213203634498,986.0,0.030524972427938734,961.0,0.03145542099686366,872.0,0.031753284637502384,733.0,0.03308342568272569,660.0,0.03339684790481383,625.0,0.03598775094194286,618.0,0.043396972034483984,515.0,0.04257754855045397,469.0,0.04280302012615262,412.0,0.04440773708329818,343.0,0.04639650363690391,301.0,0.052708829908292655,261.0,0.05181206134036439,231.0,,,0.053834554281860535,202.0,0.05572879861776747,224.0,0.05383126779984634,238.0,0.053404528908629165,210.0
5,816,מודיעין-מכבים-רעות*,0.006643820399588664,858.0,0.01093498328615227,1295.0,0.01097811783921996,1326.0,0.01069053325146,1326.0,0.011503514776885495,1848.0,0.012197703143409296,2261.0,0.013084901949590288,2787.0,0.013288949581006964,2959.0,0.013225749612269149,2473.0,0.013493997971388729,2529.0,0.013367781427016105,2591.0,0.013001736158304036,2242.0,0.01187564559540875,2005.0,0.010409147428998188,1633.0,0.009300402648435327,1657.0,0.010442516825337016,1838.0,0.011469931177195757,1935.0,0.012710202391241847,2119.0,0.013079727697746086,2041.0,0.016050597195960817,2126.0,0.018755292186878644,2354.0,0.02043127450163319,2711.0,0.021661790403277804,2857.0,0.022633688858975192,2893.0,0.02301216810800496,2726.0,0.02550704128770996,3031.0,0.025311722212011625,2965.0,0.025388305696401034,2800.0,0.02594231296714511,2421.0,0.025762647721459486,2261.0,0.02625747436894917,2219.0,0.029232314308714397,2246.0,0.031245002483142444,2099.0,0.03326372863542375,2041.0,0.034518323427306305,1769.0,0.036932443677758005,1508.0,0.04338716520839105,1377.0,0.044949947268308865,1323.0,0.043017069234046836,1239.0,0.04297580305989973,1062.0,0.04521756359726195,1116.0,0.04731514423214015,1268.0,0.04748003722247398,1430.0,0.04760622614310092,1309.0
6,836,כוכב יאיר,0.01718777374290664,252.0,0.01910125748230012,331.0,0.019872707234735592,343.0,0.01878146994857509,345.0,0.017264428234765726,428.0,0.01705313071830318,462.0,0.018427136545916843,545.0,0.018376783700437143,582.0,0.019358878299567533,503.0,0.018877783379727075,496.0,0.018869679022927306,500.0,0.017420143866497897,438.0,0.017938692781046196,424.0,0.0173809758279089,379.0,0.016642763538726135,373.0,0.016230156851857983,391.0,0.01648605877683009,441.0,0.01801962794007601,469.0,0.01854636513233285,482.0,0.018710442992853873,494.0,0.018526997671785627,512.0,0.01971328854454198,540.0,0.021260741189755038,559.0,0.022970432386455405,539.0,0.022604692115754173,505.0,0.026562178110807137,522.0,0.0268538251809569,511.0,0.027941816223113054,489.0,0.027670068892715543,467.0,0.028107462223429556,438.0,0.027421636951273358,423.0,0.02771333645727895,430.0,0.03121270721286822,438.0,0.03401497225569516,414.0,0.03527878979382832,366.0,0.037431879452099574,300.0,0.03659254491911298,282.0,0.04240480713571426,264.0,0.047231220655015616,241.0,,,,,0.04111948929278198,220.0,0.04741040043759276,251.0,0.05200558726535114,221.0
7,902,שוהם,0.010651340736235344,229.0,0.010028970295591105,361.0,0.010027146264771459,372.0,0.009771664266020828,380.0,0.010580357218578076,497.0,0.010897832171989266,605.0,0.012639395787779518,735.0,0.012980348036506785,746.0,0.012881272870197923,634.0,0.01309063374857542,655.0,0.01282357566896772,666.0,0.011816057791208617,571.0,0.011673168255491343,514.0,0.009561084143490772,433.0,0.009645635619556005,457.0,0.012287147116128392,508.0,0.013911718659608706,529.0,0.013516852343937855,603.0,0.01378865980837341,580.0,0.01459031033497273,606.0,0.015248820930213661,685.0,0.01622962175821633,779.0,0.018105819046186165,798.0,0.017258760218005653,824.0,0.018658078225407222,767.0,0.019924525876031485,863.0,0.021489728551653965,863.0,0.02348518069195596,793.0,0.025091859827465715,704.0,0.027803995012295142,674.0,0.0295459289727218,676.0,0.030639599322761814,677.0,0.03442151447428598,624.0,0.03569221862259456,575.0,0.0363801956715291,504.0,0.03914043522135714,420.0,0.03466031247868129,382.0,0.037488148977819595,321.0,0.04112304438191557,299.0,0.045530136308599874,270.0,0.0464083382559011,289.0,0.045278937163804524,328.0,0.05268177193833447,359.0,0.0561067419723155,341.0
8,1003,קריית טבעון,0.006461146459175406,425.0,0.009449904629789523,515.0,0.008714096891407513,539.0,0.008286794760317634,539.0,0.011400114358783277,662.0,0.015381413377603062,753.0,0.016582926311817674,857.0,0.01695907135114016,899.0,0.01618430395839569,789.0,0.016574730159133983,822.0,0.017469826332947337,845.0,0.016452846992021347,751.0,0.012184872035273542,705.0,0.01058205701527886,665.0,0.01062163239354461,669.0,0.011775495620474065,712.0,0.013648735654163966,713.0,0.01541426320959689,767.0,0.012450958050781509,807.0,0.013161696963683802,811.0,0.015655959547216478,862.0,0.016677653869369268,925.0,0.016754946359235877,961.0,0.017122985545766148,978.0,0.015278624183629238,908.0,0.018117494920591157,917.0,0.01931933660986729,914.0,0.020048939199561494,912.0,0.019369211473702144,839.0,0.02179164852541832,800.0,0.02289010607232336,787.0,0.02413721545395801,773.0,0.026263511706913857,744.0,0.03051682728833344,719.0,0.03163289009196603,576.0,0.036234820852558726,477.0,0.03724766453798997,445.0,0.03955381258485217,386.0,0.0460863925922922,363.0,0.04952788454731536,338.0,0.047112144162083563,324.0,0.04974142947500578,373.0,0.05256469485896737,408.0,0.05717013136959095,349.0
9,1011,קריית אונו,0.006473411553042902,444.0,0.009174501710718371,694.0,0.009004663003399268,709.0,0.009159404494827569,728.0,0.00949159833326799,963.0,0.010114284144705546,1141.0,0.011881060426494993,1402.0,0.013080927802063172,1468.0,0.013058388219664216,1241.0,0.012965410877318208,1247.0,0.012994699850361943,1287.0,0.014069639232704838,1115.0,0.012365231926845533,985.0,0.010780461574861261,809.0,0.011498154510038964,833.0,0.012931347208882518,921.0,0.014856387203666043,960.0,0.014469438181362931,1006.0,0.014611413001957054,987.0,0.016477741195975056,1001.0,0.01942671293549042,1090.0,0.021222953547673173,1232.0,0.02178016388160925,1303.0,0.020722371361421247,1359.0,0.023776653618925885,1289.0,0.02493562486943371,1398.0,0.02770754227022789,1370.0,0.028362883941221353,1301.0,0.030613234654465273,1140.0,0.032660784978500404,1066.0,0.03665251636564359,1055.0,0.03829096216302659,1072.0,0.04264188292409675,1013.0,0.041050701235578795,992.0,0.041447191372872776,874.0,0.04151985297240846,752.0,0.04140560710509138,668.0,0.043531263377751574,600.0,0.04312327393831272,539.0,0.03865420139017422,427.0,0.04288403684628051,449.0,0.04358563928894597,538.0,0.042287439324682465,621.0,0.044036160948879306,571.0
