,CITY_ID,SHEM_YISHU,SRt_05-05,N_05-05,SRt_05-04,N_05-04,SRt_05-03,N_05-03,SRt_05-02,N_05-02,SRt_05-01,N_05-01,SRt_04-30,N_04-30,SRt_04-29,N_04-29,SRt_04-28,N_04-28,SRt_04-27,N_04-27,SRt_04-26,N_04-26,SRt_04-25,N_04-25,SRt_04-24,N_04-24,SRt_04-23,N_04-23,SRt_04-22,N_04-22,SRt_04-21,N_04-21,SRt_04-20,N_04-20,SRt_04-19,N_04-19,SRt_04-18,N_04-18,SRt_04-17,N_04-17,SRt_04-16,N_04-16,SRt_04-15,N_04-15,SRt_04-14,N_04-14,SRt_04-13,N_04-13,SRt_04-12,N_04-12,SRt_04-11,N_04-11,SRt_04-10,N_04-10,SRt_04-09,N_04-09,SRt_04-08,N_04-08,SRt_04-07,N_04-07,SRt_04-06,N_04-06,SRt_04-05,N_04-05,SRt_04-04,N_04-04,SRt_04-03,N_04-03,SRt_04-02,N_04-02,SRt_04-01,N_04-01,SRt_03-31,N_03-31,SRt_03-30,N_03-30,SRt_03-29,N_03-29,SRt_03-28,N_03-28,SRt_03-27,N_03-27,SRt_03-26,N_03-26,SRt_03-25,N_03-25,SRt_03-24,N_03-24,SRt_03-23,N_03-23,SRt_03-22,N_03-22,SRt_03-21,N_03-21
32,1184.0,בת ים,0.02743064688738556,1151.0,0.027152699500453174,1160.0,0.026355221639896585,1400.0,0.026029632751148828,1093.0,0.025586059223046936,1099.0,0.025453910711744226,1115.0,0.023766176433029952,1141.0,0.025620526722410514,1351.0,0.025129963052915472,1665.0,0.02538208625995378,1578.0,0.025418118804424863,1391.0,0.025478197547738397,1423.0,0.02479345132789831,1446.0,0.024816676927879845,1249.0,0.021768511767145383,1079.0,0.02176799352176921,817.0,0.024175948006845225,790.0,0.025812003452758036,912.0,0.026347156011527303,937.0,0.028133057502240405,1051.0,0.02819034774875994,1021.0,0.031091227921861968,1173.0,0.03230341183576416,1371.0,0.033626906630148806,1776.0,0.03326231397161312,1944.0,0.03343479010188729,2084.0,0.03312222619850091,1994.0,0.03458649106328312,2428.0,0.03458411553914364,2301.0,0.03514268777564516,2129.0,0.036144088395340904,1734.0,0.03691917521980536,1518.0,0.03794530779071204,1414.0,0.03841903718408909,1376.0,0.0426301747639409,972.0,0.04537210194566414,902.0,0.04406612339769186,774.0,0.04660410078718509,604.0,0.04873898879223202,508.0,0.05414828551767852,461.0,0.05888254156465262,414.0,0.05793305126150709,318.0,0.06036125679458427,351.0,0.06105320120608002,384.0,0.0565775685844363,416.0,0.058415303372417605,385.0
33,1185.0,גבעתיים,0.015233550320249688,1625.0,0.014771893989611148,1643.0,0.01659781920169008,1892.0,0.017812923749025513,1644.0,0.017488983609906368,1666.0,0.017619433974865317,1693.0,0.014921386889282824,1717.0,0.01610900686537453,1950.0,0.01639187256751542,2257.0,0.01573011996494018,2161.0,0.015977489855797854,1939.0,0.015742411190961668,1984.0,0.016197409329041353,2014.0,0.016346662217489146,1857.0,0.016064390499682286,1736.0,0.015586148080006511,1482.0,0.015623775165856073,1521.0,0.014904345531103012,1623.0,0.013789919179862813,1706.0,0.014599693654348966,1858.0,0.015493540365916944,1851.0,0.014672207779007749,1917.0,0.015137976572833332,2074.0,0.017793184676841742,2357.0,0.019339414876918887,2504.0,0.020843647063924338,2547.0,0.021145420280406096,2411.0,0.022704411981654533,2602.0,0.023841402499798197,2539.0,0.024628994573843474,2415.0,0.024130438245777496,2122.0,0.024215167341936544,1962.0,0.02741919166598195,1918.0,0.028391952120202738,1905.0,0.029080705994056176,1729.0,0.03254768585573786,1639.0,0.03436896474925917,1416.0,0.03703031597759955,1165.0,0.03886976810167334,1044.0,0.036304418761357454,915.0,0.0374389643018163,817.0,0.03985366759947871,713.0,0.03857957983687978,740.0,0.040047556015773554,875.0,0.04127250274885212,1035.0,0.04339949368949816,971.0
34,1186.0,הרצלייה,0.0118950616209091,2660.0,0.012082608000062474,2685.0,0.011518805113578029,3052.0,0.011329778708340208,2523.0,0.011133703386957005,2563.0,0.012061096608691459,2619.0,0.011652793144752484,2636.0,0.01283635920369461,2960.0,0.012228866827690362,3399.0,0.01250498727120069,3254.0,0.012052006825047416,2908.0,0.012005746343666465,2986.0,0.011180457151198038,3044.0,0.011718986541131588,2780.0,0.011001297363253542,2656.0,0.011440069409862171,2330.0,0.011989699844541117,2335.0,0.012322940874569819,2520.0,0.012805451774744991,2654.0,0.013486699707505117,2831.0,0.013419663238358118,2853.0,0.013940868028259785,2876.0,0.015147827535909542,3109.0,0.015629329780586763,3465.0,0.01711505819159449,3667.0,0.018257115537129165,3674.0,0.018446294220396627,3509.0,0.020068131794092316,3751.0,0.021832216546101416,3743.0,0.022943727868511683,3628.0,0.02595123175686447,3272.0,0.02625186193036268,3031.0,0.027084061289661166,3047.0,0.028282098286292887,3009.0,0.02990579961260414,2847.0,0.02980066385806715,2819.0,0.03019322494387648,2395.0,0.029295775326281994,2028.0,0.03260700391986862,1802.0,0.03622247272350432,1601.0,0.03863608317522083,1440.0,0.04133484011726701,1159.0,0.04520995773690395,1041.0,0.043702866700444376,1212.0,0.0454136509437446,1358.0,0.044316653052164395,1255.0
35,1187.0,חדרה,0.015571343944131176,567.0,0.0152051888958973,585.0,0.015003705620240537,679.0,0.013620962314822712,597.0,0.013144821986575015,641.0,0.012175476125392666,675.0,0.01285352399297732,754.0,0.012274988749579111,846.0,0.011229238052609404,963.0,0.011191902685880592,989.0,0.01090490672580321,1043.0,0.010797678814159955,1203.0,0.012295957730989342,1948.0,0.012395732072393558,1847.0,0.013094379572746272,1798.0,0.013436030972001425,1732.0,0.013878217948569554,1829.0,0.016480761274681968,2078.0,0.01809907655422921,2300.0,0.01919345468971089,2043.0,0.020076120074868357,2372.0,0.021284638509344936,2419.0,0.022398938156281575,2495.0,0.023123949754191835,2472.0,0.022911194711478313,2262.0,0.023201984046683947,1997.0,0.025587730709803955,1504.0,0.028629773132243613,1257.0,0.027487741451002235,1222.0,0.027044106252213596,1139.0,0.029752997815752955,997.0,0.030210910412025054,921.0,0.032676638129383324,881.0,0.033833217416477955,895.0,0.03910070172871874,854.0,0.039027685615358944,809.0,0.0393416428223042,701.0,0.038129919932563525,619.0,0.03997807167595991,548.0,0.04457637169786242,473.0,0.04720454900205129,406.0,0.04126827295528802,320.0,0.04302465180131123,358.0,0.042831381446949986,425.0,0.045666850145288804,475.0,0.04943075301824126,431.0
36,1188.0,חולון,0.017088639787920218,2578.0,0.016844608207990285,2630.0,0.016033412274571973,3042.0,0.013583942428591804,2508.0,0.014063801860110688,2558.0,0.014476769810297253,2588.0,0.01359434935824432,2556.0,0.013534505048501812,2961.0,0.015478321144819273,3600.0,0.015868532973637495,3483.0,0.015798826240105264,3080.0,0.015589135491946716,3106.0,0.01561533715583877,3124.0,0.015783490779248004,2808.0,0.01626319133997242,2596.0,0.014031010243130883,2000.0,0.015327232451363913,1917.0,0.016973720612647892,2134.0,0.01696047997328434,2194.0,0.01701458441557526,2422.0,0.01751468505789287,2330.0,0.019354713889681026,2472.0,0.021998502007350273,2817.0,0.024337320986181576,3596.0,0.024970890161965062,3959.0,0.026346659443347326,4205.0,0.02766836005552521,4047.0,0.03026956350339941,4809.0,0.031056190972138086,4659.0,0.03198463526597105,4385.0,0.03385986603458162,3588.0,0.03542480263841511,3140.0,0.036838730731859774,3005.0,0.03729564229988789,2928.0,0.03873260853616861,2310.0,0.04104635514215287,2177.0,0.0413966492901055,1883.0,0.042850264307841814,1575.0,0.043305829776070885,1415.0,0.048255494105163936,1262.0,0.04895860473846358,1133.0,0.04806253977275449,882.0,0.051020327671450046,894.0,0.049718900424439334,1020.0,0.049380114868288076,1122.0,0.052318462127438084,1005.0
37,1190.0,קריית אתא,0.0248427593894117,459.0,0.026161298083068312,449.0,0.02365735716967579,550.0,0.025075791214528582,477.0,0.024666369530396533,485.0,0.02481513055180102,502.0,0.022442436495113526,520.0,0.021105240280662123,603.0,0.02025590489570013,761.0,0.021736348792441327,710.0,0.020318987427902314,620.0,0.020852530989592465,634.0,0.020363030484432717,639.0,0.019058438326250666,557.0,0.017812618128877935,504.0,0.016391205557259484,380.0,0.01479832638778875,369.0,0.018112699910058965,418.0,0.016365011103118783,435.0,0.01735500101483065,486.0,0.018439577591439285,456.0,0.019033101967683735,512.0,0.023880431447262578,591.0,0.029951257452529634,730.0,0.027391873424917373,824.0,0.028449578948797405,907.0,0.027449250112779315,875.0,0.027416393757194825,1035.0,0.03117635977171147,1016.0,0.030385793578789736,948.0,0.02729867295507068,814.0,0.030133785236917867,731.0,0.03227477630082021,666.0,0.035421287523415224,642.0,0.03925430874245624,549.0,0.03672982539620201,506.0,0.03733469759516338,447.0,0.03852219782676815,388.0,0.0420392146459316,334.0,0.046506513179466503,302.0,0.05124480423062296,279.0,0.0598180374168194,204.0,0.06859672678629661,226.0,0.06831857030906072,249.0,0.06977581675076612,268.0,0.07581919307053125,230.0
38,1191.0,כפר סבא,0.01206199702074897,2244.0,0.012441668426350814,2269.0,0.01274702123103477,2557.0,0.014860269213993456,2288.0,0.014877727049954334,2301.0,0.015514420456727731,2330.0,0.01428523027101576,2421.0,0.013662036197161335,2714.0,0.014647031882026155,3163.0,0.01477925040163248,3042.0,0.014119325718860938,2781.0,0.013594285481670843,2842.0,0.013159003158293216,2909.0,0.013155467031669676,2673.0,0.013594119662388122,2588.0,0.012171360245866514,2268.0,0.01247567814129601,2314.0,0.012953660920949652,2612.0,0.01331205711392973,2727.0,0.013745627626690057,2896.0,0.014047597809827176,2921.0,0.014370101414905858,3017.0,0.015775422125011047,3192.0,0.015885815525776895,3470.0,0.017848761532394862,3509.0,0.018653304718131616,3555.0,0.019941850431236703,3351.0,0.02168084753922719,3589.0,0.023735696592507433,3491.0,0.02374387813516703,3319.0,0.025980146851080195,2989.0,0.026186324132427705,2749.0,0.02663009689543829,2694.0,0.027426116799441576,2666.0,0.029202972432983476,2495.0,0.028993571706813225,2331.0,0.029896651401359615,2007.0,0.030434781958509637,1682.0,0.03133918615627266,1511.0,0.0375613920732828,1351.0,0.038163755210420904,1221.0,0.037835230719229854,994.0,0.0433983020387392,1013.0,0.04435087264457656,1221.0,0.04544069723228193,1363.0,0.04756507597446109,1232.0
39,1192.0,לוד,0.01886946107458044,307.0,0.018245912929666427,302.0,0.0179653098911963,360.0,0.01835425122741608,284.0,0.015261915827164303,286.0,0.015237378704136287,291.0,0.01401742752331007,293.0,0.015507525389310496,337.0,0.015377583161143484,428.0,0.016267960196452394,417.0,0.01676821567169091,362.0,0.01764697792082281,368.0,0.017622357693859093,370.0,0.01999018955032332,314.0,0.017803542533191684,277.0,0.017844338553365525,204.0,0.01698563566061925,203.0,0.02080480055675857,239.0,0.023495712929841137,240.0,0.0253585920015094,265.0,0.026317124563325224,251.0,0.03031663672895894,302.0,0.03365399384490926,368.0,0.03705286395320348,465.0,0.034965508103073924,534.0,0.034983429556699565,585.0,0.03514965278842995,583.0,0.03326083367030409,711.0,0.03315360275497712,708.0,0.032620355671108325,652.0,0.031874256554369984,542.0,0.034728601346916604,469.0,0.03736456572585244,454.0,0.04278531676476184,447.0,0.0493847326462974,356.0,0.04960103758332275,340.0,0.049732389266591855,302.0,0.04958831562240394,263.0,0.04488386349918753,254.0,0.04644772766791533,226.0,0.04107144208937787,202.0,,,,,,,,,,
40,1193.0,אשקלון,0.01886620617296019,793.0,0.018635193284624808,795.0,0.018309293675741814,925.0,0.015612052334063268,767.0,0.015511912817631762,782.0,0.015191539334179787,798.0,0.016091546005050767,831.0,0.015418708160884738,970.0,0.014934133370443824,1206.0,0.016268553701936358,1143.0,0.01678628177202328,1002.0,0.01697283039013038,1019.0,0.017037841388818305,1026.0,0.016540524513906415,872.0,0.01681705007399054,778.0,0.018879426635994782,565.0,0.01755774648760929,592.0,0.01785526766171736,690.0,0.01794368468169982,732.0,0.02055845522240248,845.0,0.024473272425999032,861.0,0.031011733591896497,1007.0,0.03478852563112842,1243.0,0.03639284629853311,1506.0,0.03755087182460258,1653.0,0.03832075528922316,1805.0,0.0381504560079116,1732.0,0.03697733803232599,2023.0,0.035502364616550104,1947.0,0.036376250865225425,1803.0,0.03611821922844594,1709.0,0.037917543961480886,1568.0,0.03997755295200902,1511.0,0.04157746912194581,1477.0,0.04600787978614528,1237.0,0.04783315267196144,1152.0,0.04602143229252066,990.0,0.049332388080739496,691.0,0.0455874099054859,621.0,0.05297675927420709,518.0,0.05385209258671304,469.0,0.05290715338716286,362.0,0.06246652237470919,361.0,0.06062782602596237,406.0,0.0637291935846158,432.0,0.07107217750214315,362.0
41,1194.0,נס ציונה,0.013868672220384657,1307.0,0.012870231487159082,1322.0,0.011381669519720009,1463.0,0.009778660101314295,1262.0,0.009335164146172149,1289.0,0.00931840890201039,1318.0,0.009388597324936288,1320.0,0.010065068215953326,1445.0,0.012526175778889315,1642.0,0.012169383473484218,1571.0,0.011721648747281781,1476.0,0.013568127103279561,1502.0,0.014422237408252348,1532.0,0.013891172215510285,1462.0,0.01350129282823673,1428.0,0.01145380467499122,1285.0,0.010989087755151066,1298.0,0.01134224156561787,1372.0,0.011522737517084877,1407.0,0.012132413387280027,1488.0,0.012071751257122005,1501.0,0.014094419931957338,1544.0,0.017573731767679197,1698.0,0.019699277998300298,1931.0,0.021414212999316198,2049.0,0.021404474186324268,2138.0,0.021703765717368192,2043.0,0.022629232394488816,2126.0,0.022448378033945313,2088.0,0.021764331148717234,1969.0,0.02184187464502949,1731.0,0.0214641164219476,1592.0,0.021907561823647854,1541.0,0.021723790259119587,1528.0,0.02344042434647686,1402.0,0.024137925906722306,1304.0,0.024306667417703046,1097.0,0.024899629217008397,929.0,0.02739908755509419,870.0,0.0313255772526092,741.0,0.03440066034380956,676.0,0.036691349951505546,629.0,0.03987427107269634,713.0,0.04166555046191106,863.0,0.04413710309295698,993.0,0.046189886866807764,926.0
