,CITY_ID,SHEM_YISHU,CITY_ID,symptoms_score_05-12,SRt_05-12,N_05-12,symptoms_score_05-11,SRt_05-11,N_05-11,symptoms_score_05-10,SRt_05-10,N_05-10,symptoms_score_05-09,SRt_05-09,N_05-09,symptoms_score_05-08,SRt_05-08,N_05-08,symptoms_score_05-07,SRt_05-07,N_05-07,symptoms_score_05-06,SRt_05-06,N_05-06,symptoms_score_05-05,SRt_05-05,N_05-05,symptoms_score_05-04,SRt_05-04,N_05-04,symptoms_score_05-03,SRt_05-03,N_05-03,symptoms_score_05-02,SRt_05-02,N_05-02,symptoms_score_05-01,SRt_05-01,N_05-01,symptoms_score_04-30,SRt_04-30,N_04-30,symptoms_score_04-29,SRt_04-29,N_04-29,symptoms_score_04-28,SRt_04-28,N_04-28,symptoms_score_04-27,SRt_04-27,N_04-27,symptoms_score_04-26,SRt_04-26,N_04-26,symptoms_score_04-25,SRt_04-25,N_04-25,symptoms_score_04-24,SRt_04-24,N_04-24,symptoms_score_04-23,SRt_04-23,N_04-23,symptoms_score_04-22,SRt_04-22,N_04-22,symptoms_score_04-21,SRt_04-21,N_04-21,symptoms_score_04-20,SRt_04-20,N_04-20,symptoms_score_04-19,SRt_04-19,N_04-19,symptoms_score_04-18,SRt_04-18,N_04-18,symptoms_score_04-17,SRt_04-17,N_04-17,symptoms_score_04-16,SRt_04-16,N_04-16,symptoms_score_04-15,SRt_04-15,N_04-15,symptoms_score_04-14,SRt_04-14,N_04-14,symptoms_score_04-13,SRt_04-13,N_04-13,symptoms_score_04-12,SRt_04-12,N_04-12,symptoms_score_04-11,SRt_04-11,N_04-11,symptoms_score_04-10,SRt_04-10,N_04-10,symptoms_score_04-09,SRt_04-09,N_04-09,symptoms_score_04-08,SRt_04-08,N_04-08,symptoms_score_04-07,SRt_04-07,N_04-07,symptoms_score_04-06,SRt_04-06,N_04-06,symptoms_score_04-05,SRt_04-05,N_04-05,symptoms_score_04-04,SRt_04-04,N_04-04,symptoms_score_04-03,SRt_04-03,N_04-03,symptoms_score_04-02,SRt_04-02,N_04-02,symptoms_score_04-01,SRt_04-01,N_04-01,symptoms_score_03-31,SRt_03-31,N_03-31,symptoms_score_03-30,SRt_03-30,N_03-30,symptoms_score_03-29,SRt_03-29,N_03-29,symptoms_score_03-28,SRt_03-28,N_03-28,symptoms_score_03-27,SRt_03-27,N_03-27,symptoms_score_03-26,SRt_03-26,N_03-26,symptoms_score_03-25,SRt_03-25,N_03-25,symptoms_score_03-24,SRt_03-24,N_03-24,symptoms_score_03-23,SRt_03-23,N_03-23,symptoms_score_03-22,SRt_03-22,N_03-22,symptoms_score_03-21,SRt_03-21,N_03-21,symptoms_score_03-20,SRt_03-20,N_03-20,symptoms_score_03-19,SRt_03-19,N_03-19,symptoms_score_03-18,SRt_03-18,N_03-18,symptoms_score_03-17,SRt_03-17,N_03-17,symptoms_score_03-16,SRt_03-16,N_03-16,SHEM_YISHU
0,15.0,מזכרת בתיה,15.0,0.007696142530629089,0.006374697562958518,283.0,0.008226754278075886,0.009326919724610421,328.0,0.008155660787513286,0.008808915051922843,385.0,0.008144429488129558,0.008943001120938746,368.0,0.00814137708647508,0.008836988872094368,371.0,0.008149948405509689,0.008998309121374299,374.0,0.008176861847624974,0.010639827885257785,314.0,0.008019270005738191,0.009802931728387611,269.0,0.007471316683712062,0.007502507406617755,213.0,0.0076347390665541,0.010807176379059515,200.0,0.007721880553930453,0.012678673745190421,219.0,0.0077027977384998125,0.011999775940777753,231.0,0.007468350414650585,0.009595600722094255,308.0,0.007439016186833126,0.008556322193115033,385.0,0.007312463854703704,0.007646733337280648,486.0,0.007618183284921427,0.007957042624665745,595.0,0.007762497774315194,0.00781427253723816,555.0,0.00772376846244578,0.00651069511736739,525.0,0.007732866696274198,0.006720746282476178,523.0,0.007881989012543108,0.007577174897349896,455.0,0.008059869988733584,0.008786735715418484,369.0,0.008591400505991515,0.012037114679886619,295.0,,,,,,,0.007525159933997504,0.006994104443685696,220.0,0.0075908440793432145,0.007661562865833797,245.0,0.007830980413987583,0.01075763322674025,291.0,0.007724647124513809,0.009799667142160205,317.0,0.008125992317042051,0.012833709831355351,333.0,0.008308774020171045,0.015537511840481083,380.0,0.008486880499438302,0.017592418974173723,418.0,0.008597586885244583,0.019359996643686067,460.0,0.008688407036165507,0.02051622546253245,461.0,0.008805392308359911,0.02212556024777744,420.0,0.00906602159482954,0.02502986847787296,432.0,0.008882897106415811,0.02448022812462152,434.0,0.009014975445759674,0.025519966952567197,456.0,0.00940280461643894,0.026148173899339322,536.0,0.009884679822447917,0.025454706229498362,944.0,0.00988296360862473,0.025322049512133453,948.0,0.00992090237255323,0.025669387966830486,944.0,0.00992036573285362,0.025643852686270972,936.0,0.009950942692750934,0.026011086799541824,913.0,0.009911642733930354,0.02466722983942003,820.0,0.00973635460478478,0.025117183447623034,673.0,0.008937497240445406,0.029972384750119183,206.0,0.009188158259222487,0.0366838625514805,203.0,,,,0.008742716834257962,0.03583152763289623,200.0,0.008901291424748518,0.03807485217397577,214.0,0.00921650444581523,0.04243629538541341,243.0,0.00932873685850441,0.04210841801762347,280.0,0.009498281393189489,0.045563494974111454,269.0,0.009644251986304699,0.04653228936928469,223.0,0.009736057504561451,0.04735746517017242,211.0,,,,,,,,,,מזכרת בתיה
1,17.0,אופקים,17.0,0.008283453398157031,0.02123025350297784,226.0,0.008630542509234177,0.022861926031418223,281.0,0.00837933063423221,0.024704843802344743,331.0,0.008602207991804256,0.024272705102873465,299.0,0.008594213594468643,0.024185094585192277,301.0,0.007892965831865828,0.02251058827300721,296.0,0.007934328824541826,0.020063906480644746,244.0,0.008118382935003608,0.022407775280021434,208.0,,,,,,,,,,,,,,,,0.008355609882576064,0.02220814179655521,268.0,0.008176441367080092,0.021836541252143234,356.0,0.008024219331980512,0.02052668683100524,482.0,0.008221173971244486,0.021104272931292013,463.0,0.008236738413154832,0.02157963927858716,436.0,0.008222804759969057,0.02141288805186659,430.0,0.008154266985341576,0.01901983849855796,365.0,0.007853348110992817,0.018984611269397517,269.0,,,,,,,,,,0.01053917230019471,0.02550595498702437,610.0,0.010551540063803775,0.025559986375911857,611.0,0.010687308061860135,0.02496955693753491,622.0,0.01069706918123632,0.024650282255201595,613.0,0.01063059252033435,0.025044541423529146,632.0,0.010594859780617907,0.0237776917368196,669.0,0.01073321541870602,0.024494918662451036,660.0,,,,0.010783712625182192,0.027824798566010087,200.0,,,,0.010077957161537527,0.03261674615572335,236.0,0.011298969212700443,0.034561276375146756,255.0,0.012049316125434023,0.0441162260948533,374.0,0.01083538128208752,0.03722941787418925,863.0,0.010831720751435877,0.03695099658116582,1002.0,0.010849008560111362,0.0371679960711384,1003.0,0.010814570703347062,0.03684339124248795,1000.0,0.010893848212680711,0.037024771354382716,967.0,0.010580428887113101,0.03692004627951298,924.0,0.01019738186641119,0.03412080297872099,752.0,0.010553848376184618,0.03629904110973329,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אופקים
2,44.0,אשדוד,44.0,0.008052623453896963,0.013447902948344791,1339.0,0.00834571671660631,0.013772933715441237,1602.0,0.008317089814800598,0.012659913844471534,1895.0,0.00822942642552519,0.012329380146461719,1914.0,0.008244088393398586,0.012298443078406976,1939.0,0.008181254959354437,0.012241788797854184,1910.0,0.008320363901919692,0.012181834892982248,1546.0,0.008393575294286682,0.012211855480384058,1286.0,0.008026476334776215,0.013360150783263709,978.0,0.008296741643414913,0.013795642313381732,902.0,0.008241326871681647,0.013963288281957848,953.0,0.008229859842345937,0.01333368648393175,990.0,0.008018474764969476,0.012873679235917956,1401.0,0.008193773322825369,0.014966609955851334,1852.0,0.008140445238653806,0.01573927389214963,2445.0,0.008419296156089547,0.015926005796608703,3263.0,0.008460268192656108,0.017347094534673434,3086.0,0.008508084529742527,0.0174941536000081,2896.0,0.008524257701253864,0.01748875665138631,2892.0,0.008675689557424076,0.018181628711651146,2497.0,0.008821347972297146,0.017999373770957575,2021.0,0.009260909193618775,0.01969481004628785,1539.0,0.009157707506935613,0.022758548270752313,790.0,0.008961049907468774,0.021207899006825633,813.0,0.009166376457938722,0.022058658838474986,981.0,0.009143800331263208,0.0225948049234274,1029.0,0.009360270418968517,0.024315738502745394,1159.0,0.00916584099953594,0.024639069746497953,1150.0,0.009500721053120796,0.0271932199363404,1398.0,0.009850717850768055,0.02932150064848695,2137.0,0.009821889810371711,0.02916779140672005,2517.0,0.00995820771903371,0.02958986687425861,2730.0,0.009929337973361025,0.030074243282476164,2917.0,0.009950063270685566,0.03113876709693807,2836.0,0.010165445467475026,0.03292719110426378,3186.0,0.010332547747708764,0.033093949996457754,3119.0,0.010486434969784245,0.03330674823591124,3145.0,0.010831750912488766,0.03390390916076483,3271.0,0.010475277689708126,0.032556841732365664,5139.0,0.0106600208672435,0.0334989429012835,4989.0,0.01062891095973484,0.032897035139809745,4966.0,0.010642994853740213,0.0322701660717131,4695.0,0.010605572905267957,0.032233742301577974,4482.0,0.010601899525726722,0.03221071538791055,3594.0,0.01047164178528213,0.033079525483020726,2925.0,0.010959745450590034,0.0419673995782462,722.0,0.009970642696154004,0.038588922905653196,662.0,0.01005889842554219,0.040012813488410855,613.0,0.009506641340555781,0.04082055310687735,491.0,0.009494886033868303,0.04314823721198381,571.0,0.00966733583752082,0.04672888233736931,645.0,0.009816006971117727,0.04894353253857723,702.0,0.009929761282988206,0.04996295649732148,631.0,0.009944321434224399,0.05268761488336368,533.0,0.00998574482719699,0.05322349131554344,501.0,0.010208815925869039,0.05689160240984532,404.0,0.010728526607293749,0.0652590229345651,200.0,,,,אשדוד
3,75.0,רמת ישי,75.0,0.008020900063726168,0.015560902867808037,235.0,0.007808002951977492,0.011096353571645484,273.0,0.007687188476753283,0.009424462983994169,313.0,0.007740793652383338,0.009399577731836558,313.0,0.007738915716666941,0.009294091603612468,319.0,0.0077819244062329205,0.009637316575611822,318.0,0.007593964350448055,0.0077080781047514845,231.0,,,,,,,,,,,,,,,,0.007898962276794081,0.011884942920231805,214.0,0.010374187363660371,0.014140246617461466,280.0,0.00961953099756184,0.012334188217860474,349.0,0.009558662925686377,0.009759492244291002,428.0,0.009516211932853713,0.010150320884285509,418.0,0.009556208316906508,0.009177058339937972,395.0,0.009524345328014185,0.009149695672396018,392.0,0.009551295241356565,0.007875991833899722,350.0,0.007471606566592442,0.0048025484752174,285.0,0.007827858704471833,0.007219179491149159,250.0,,,,0.00776975777385764,0.007199805244701633,211.0,0.007589927226254114,0.00828235519084862,404.0,0.0076208794030540065,0.0088137714739221,417.0,0.007669691257549505,0.009204849826233987,422.0,0.0077410433417997955,0.00956971096556602,430.0,0.007897186563150466,0.010978042733714536,421.0,0.008368102788799375,0.017435643383851417,446.0,0.00858565539339317,0.0206027856956045,453.0,0.009371279850705877,0.02692956755079653,297.0,0.00994417682526945,0.027163049242405007,316.0,0.009929080133180137,0.027340539762050087,317.0,0.009998935671042415,0.029181748558894993,346.0,0.009978861515928252,0.03011204787031619,361.0,0.0092431616543772,0.02404263568999559,405.0,0.008746350988615205,0.022249515007490932,692.0,0.00872006036866894,0.0223440397137168,672.0,0.00875724494492993,0.022596821281959657,647.0,0.00877815332508139,0.022661849235483186,641.0,0.008756556329043381,0.021718007710555105,617.0,0.00886925082948879,0.022047359117365037,588.0,0.008948671452838976,0.021961623725301156,487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רמת ישי
4,93.0,תל מונד,93.0,0.007501442752095093,0.00785531622081404,364.0,0.007362199868467744,0.006748793946760122,423.0,0.007441799747876484,0.007280404448875603,482.0,0.007614947118885091,0.009564158542137075,491.0,0.007572841523555403,0.009110231517893167,491.0,0.007578253703507035,0.009223381474151686,487.0,0.007648206865531374,0.009043797451397714,444.0,0.007735292131598399,0.00974509420912634,423.0,0.007829473721538081,0.011471188184275269,369.0,0.007809626666697587,0.010714345364933826,371.0,0.007737968779899,0.009731765021498097,380.0,0.0077325280578232555,0.00939613099480001,390.0,0.00764334592609992,0.00992977244125375,441.0,0.00783156723607655,0.01165619062280703,503.0,0.007858909679631132,0.011532132920192404,572.0,0.007761974588877128,0.011622916768217152,682.0,0.007834152049237018,0.01058993208813491,641.0,0.007870054837847617,0.010227984018193572,598.0,0.007862417030756862,0.010170237992996533,605.0,0.007916267728564408,0.00939547848037795,574.0,0.0079004090655484,0.007842018371660969,509.0,0.008145685670607363,0.008074200799810097,463.0,0.008400162452728958,0.005604329070867892,367.0,0.008442332926364999,0.0053985402050743805,387.0,0.008106431622244009,0.005184106409188057,531.0,0.008330288323312993,0.0053671860302752445,547.0,0.00849979955947385,0.006196844200994093,582.0,0.008552732396392624,0.006084581707602393,574.0,0.008609419594844448,0.00746225475502637,583.0,0.00854151017451534,0.008090238007005871,627.0,0.009091796994619069,0.012939572444916763,676.0,0.009851052176750549,0.018344545232553657,573.0,0.009829508617829394,0.01929942984851325,581.0,0.009943290303174602,0.02006855496092249,550.0,0.009947067069383626,0.02319020757851232,597.0,0.009855628923549636,0.023185756345363243,610.0,0.00995858369507588,0.025790785330041335,621.0,0.00952065246784949,0.02337584114919557,838.0,0.009336268880378123,0.021765344543100446,819.0,0.009580851177714182,0.022104501808141344,801.0,0.009783410222367625,0.022830320556291694,792.0,0.009972994149959813,0.022913747701282784,754.0,0.010017149734409618,0.023368714759213736,708.0,0.010077345199053457,0.021960402590868698,606.0,0.01091888608078457,0.024076872228423196,269.0,0.011071920735415821,0.02636340281524387,238.0,0.010531031280431891,0.033401350454172,233.0,0.009552799986115705,0.03380763419556153,207.0,,,,,,,,,,0.009684880484874333,0.045572784511783586,205.0,,,,,,,,,,,,,,,,,,,תל מונד
5,104.0,גן יבנה,104.0,0.007734417460789116,0.015800566105175478,332.0,0.007677423333108275,0.015741267660003316,390.0,0.0077362058198953655,0.015491353419967564,466.0,0.007499833424656788,0.012162539192773833,493.0,0.007479345719693214,0.01224476538670531,508.0,0.00745730189259678,0.011902289786970565,508.0,0.007319033157651706,0.01024092784482182,440.0,0.0074587773565014375,0.01101452214514388,385.0,0.007491386107060069,0.010539970076103033,329.0,0.00761982006080192,0.01164100775130128,308.0,0.007770879821820531,0.012113448631730842,324.0,0.007752418975271967,0.011429196554485325,331.0,0.007684340052502127,0.011331900817046405,418.0,0.007692895991616912,0.012775163077520264,531.0,0.008253914482830915,0.011901086688690568,654.0,0.008187276281831487,0.013096248525939453,780.0,0.008112678086324276,0.013178582075351313,723.0,0.008037628232856418,0.012941929136584786,669.0,0.008068281362068283,0.013447931968740279,672.0,0.008204475140722185,0.014620044667378623,600.0,0.008278148414491211,0.013514576083750188,491.0,0.0076357571272977565,0.014291500950336777,389.0,0.007368202536881364,0.009555357473841656,269.0,0.007397101237572884,0.007447346442287049,289.0,0.007485532779253755,0.0075162926656756595,324.0,0.007604021338974026,0.008318868231983835,326.0,0.007766345108119629,0.010060160734290217,366.0,0.007878531674601666,0.011483099433658188,365.0,0.007980136234284377,0.012006914009217889,412.0,0.00798024789304202,0.014989811983601024,500.0,0.008511318737859238,0.019830492397722842,585.0,0.008608649194361464,0.02152011952355987,607.0,0.008719847070497638,0.021788467014608723,636.0,0.008686619399522795,0.020665388048860138,611.0,0.008966662795573161,0.023887421374436314,684.0,0.009187438417864673,0.028667622665931754,688.0,0.010028980139035068,0.03268289058899889,708.0,0.00977439208241477,0.032059355347543714,742.0,0.009859416946371845,0.029289206900704266,1104.0,0.009911356638904911,0.030727036383366043,1097.0,0.009988200577717977,0.03220136030063523,1076.0,0.009860839858654168,0.031020577668348016,1005.0,0.00996208672682262,0.030267672842620306,942.0,0.009413827338959095,0.027632486481459276,795.0,0.009520739243365614,0.027115671665614204,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גן יבנה
6,106.0,כפר יונה,106.0,0.008149872709324872,0.01681655653544398,344.0,0.007862402118317728,0.013091729998422738,414.0,0.007745019195732515,0.012230559543990941,480.0,0.007784087132451367,0.011880161934209604,470.0,0.007827524162853917,0.012444854681880384,473.0,0.007802710901478034,0.012228864712595865,470.0,0.007432315809988717,0.009330363493110129,370.0,0.007508524353570304,0.00867515597588367,327.0,0.007595601375627408,0.011428913368046459,244.0,0.007419836561447458,0.01193606469892311,292.0,0.007338754073386215,0.010884694371215673,320.0,0.007334780215692014,0.0113279349660755,327.0,0.008272429887237991,0.009976928045217565,417.0,0.008125585323698288,0.011424262931191524,545.0,0.008238053507998498,0.013616393767669027,661.0,0.00812796215706183,0.012360074153582737,837.0,0.00843483200859057,0.013277335142962123,729.0,0.008529224534417654,0.013409171132620475,678.0,0.008491326280548788,0.012598075117250007,680.0,0.0077298854320033234,0.013075272686489888,599.0,0.007867026228149611,0.012617370810332179,476.0,0.007836235087258898,0.011370161423787281,380.0,0.007724211424307829,0.010038758981528595,240.0,0.007695054097209174,0.010707673598710093,268.0,0.00743567650038822,0.008308237140827825,484.0,0.007550435327014201,0.009347835153808992,507.0,0.007637990522851592,0.011117370349556255,549.0,0.007567293312616484,0.010379020320117411,568.0,0.0078011420111638915,0.01453854341679949,609.0,0.00800522235261123,0.017011480182293936,720.0,0.0082867879153569,0.019506388526456045,780.0,0.008836864683405098,0.026087233390575483,625.0,0.00887337247318871,0.026957258868598878,650.0,0.00893620392512461,0.027460824108652315,617.0,0.009155428139119936,0.0307752805742228,659.0,0.008918567779503065,0.02799378341362145,684.0,0.009179545073920737,0.027758917369210042,722.0,0.009098511595021347,0.02645779887671434,1164.0,0.009159818377709685,0.027369538082572222,1169.0,0.009182162637809323,0.02796307932141272,1153.0,0.00918222995971005,0.027941693938908576,1155.0,0.009247504458834316,0.02827045260771429,1121.0,0.009404569731113163,0.02898665884666044,1055.0,0.009349808602248157,0.02993768335737196,856.0,0.00961005999738822,0.03792601449618695,292.0,0.009441624955795706,0.03951791663149968,235.0,0.00969003382307191,0.04578878944978087,213.0,,,,,,,,,,,,,0.01026059285807409,0.0651313175399784,201.0,,,,,,,,,,,,,,,,,,,כפר יונה
7,115.0,אבן יהודה,115.0,0.007758642965018885,0.00835013064343905,329.0,0.008824280112134063,0.010101678886163598,376.0,0.008621243208536281,0.010929529303559497,439.0,0.008568920358140152,0.01063651810222851,447.0,0.008559769790637937,0.010677894375114185,456.0,0.008557217750396093,0.010790713109225743,460.0,0.008611296072184752,0.010844009256002637,360.0,0.008590730596425442,0.01114494890209449,335.0,0.00780403050232515,0.00886713831664973,285.0,0.007754361082880108,0.00885251692526137,299.0,0.007871781191482493,0.009375158789173046,281.0,0.007880119720119668,0.009248099892298852,286.0,0.00790828733673827,0.00862260598755944,344.0,0.008292351894372215,0.01131122710145056,410.0,0.008412013412748364,0.012038876916906261,486.0,0.008245971041614914,0.013219749258266971,604.0,0.008304953400693588,0.012556534795096958,553.0,0.008329869303786869,0.012748327037975021,531.0,0.008293421670850804,0.012236593194847135,538.0,0.008335961387019074,0.013129719222699591,500.0,0.00841531287823427,0.012215911535774242,449.0,0.008471917661097433,0.01288848827092503,408.0,0.008786165891161402,0.010019705805710422,313.0,0.008888886056334101,0.01166045351219789,329.0,0.009294801494635484,0.009502374819841642,465.0,0.009688363026342628,0.009626805253159577,484.0,0.009648101178147362,0.009741440618260634,497.0,0.009585455487677351,0.012142444027716174,486.0,0.009569523146872507,0.0123630626524551,493.0,0.009436282842746264,0.014996085907277574,546.0,0.009302214323736993,0.01507440731559597,591.0,0.009334091058980098,0.020484180472305564,511.0,0.009265803885783644,0.022664905167377323,524.0,0.009643351694393664,0.02483244534301989,516.0,0.009904324356620366,0.02391622799304653,556.0,0.010086078587845833,0.026444683545905293,574.0,0.010044692245030878,0.025158331260747728,580.0,0.009648640716608458,0.02256175480453081,837.0,0.009428603125839565,0.020990300337429244,802.0,0.009262410931161081,0.02036370210022925,783.0,0.009133308789431725,0.02076239165984384,774.0,0.008893702133243973,0.02100284809752869,747.0,0.008888263147526429,0.020054946232491086,695.0,0.00899481672028397,0.02082105207673187,591.0,0.008989415004948226,0.02476327197740316,231.0,0.009399582022020578,0.029433909774525664,213.0,0.009123855058849025,0.02968919739424092,214.0,0.00953469995731552,0.03286345427790319,206.0,,,,0.009457619179336105,0.03534903956845509,250.0,0.009497470358397738,0.03548602218940561,290.0,0.00959728140272017,0.038190301996156174,322.0,0.00949366858923415,0.03836735470572673,291.0,0.009705130900693594,0.04144948966548697,249.0,0.009524952427020247,0.03979026404195436,223.0,,,,,,,,,,אבן יהודה
8,127.0,קדימה-צורן,127.0,0.008176680952116044,0.013504486408935729,393.0,0.008314723823918822,0.014804594529161988,489.0,0.008291813112380817,0.015095227966056989,578.0,0.008329953877958061,0.015768499778244724,613.0,0.008307273882355744,0.015601342102739122,620.0,0.008338912676297014,0.015886436969370123,624.0,0.008251461010860378,0.01534343083918767,508.0,0.00805188465813424,0.014540658747730792,462.0,0.007901668314947645,0.014672354545237798,378.0,0.00836481797918813,0.017376526287819195,403.0,0.008451413813905913,0.01747176750507393,393.0,0.008533488788117691,0.01800959414894974,410.0,0.008431063900185602,0.01596153116156866,508.0,0.0082296244950771,0.01627048750215669,596.0,0.007991745763724838,0.014621675735330554,734.0,0.007812621909180684,0.01310132505045927,888.0,0.007520261528264237,0.011299151520015663,792.0,0.007467694828493917,0.01059039893203644,749.0,0.007340141172206268,0.009591362687035178,756.0,0.007325883773077372,0.009859051384697863,679.0,0.00732220877907558,0.007435107721315284,599.0,0.007576202740883419,0.008590879467647741,510.0,0.007554561580827396,0.006801471905105392,382.0,0.007551489215691097,0.007119084180651001,428.0,0.00772253589568454,0.01058903739412792,663.0,0.007860292502215685,0.012309155099714909,686.0,0.007909978399741455,0.01323091372794313,726.0,0.007966450029571895,0.014368869732445447,726.0,0.008003150209900148,0.014768305379428021,767.0,0.0080698604215643,0.014996681399620352,852.0,0.008135723307970483,0.01592563043616253,894.0,0.008290393513680744,0.017924218385260367,749.0,0.00831578263350635,0.020230149751568848,776.0,0.008403182947646057,0.02076590423801471,742.0,0.008579626653586185,0.02247695720388149,784.0,0.00879694238064809,0.02491890354894631,761.0,0.008921692322729857,0.027321971959341832,793.0,0.008629828634435672,0.0229802193987774,1203.0,0.008632204557295006,0.022760661960763012,1154.0,0.008724340786102562,0.0226247176411129,1141.0,0.008672803998760767,0.022737020655448508,1146.0,0.00893371594957797,0.022718630021471058,1133.0,0.008876267786239147,0.022161179955100842,1138.0,0.008940537430922131,0.022321494051872198,963.0,0.010041950600605982,0.031986259992657196,418.0,0.010203776282031427,0.034832000602499885,364.0,0.010161150947258526,0.035630050785997,335.0,0.01029848901655843,0.03611527886158221,313.0,0.00947225551472111,0.0404776396509251,258.0,0.009966435337764243,0.050597467941529826,237.0,0.009984952479187965,0.051808671218193526,275.0,0.009840730352774676,0.0479240636929872,334.0,0.009769959807855388,0.04733362367730263,330.0,0.009737078821955531,0.048534716243324116,279.0,0.009909335448670044,0.05078456874361114,250.0,0.009947988032906835,0.052055079194553655,208.0,,,,,,,קדימה-צורן
9,148.0,גני תקווה,148.0,0.0076133946613516044,0.007378713232031623,498.0,0.007723043629848544,0.009207265819531015,556.0,0.007872358406697913,0.009668352851693833,653.0,0.00790608952091564,0.009567956588404605,674.0,0.007892818930063427,0.009705903314069843,686.0,0.007917389445663153,0.010030589056420838,684.0,0.007865094476909782,0.008246135607725854,600.0,0.007953402475131464,0.008468053800892252,564.0,0.007936998185524563,0.007205005202048104,510.0,0.008374106035055413,0.011224304292738114,458.0,0.008469015587201659,0.011500435326097626,442.0,0.008465492307862072,0.01148633624137937,447.0,0.008290602583862472,0.009902549927043328,502.0,0.008075714365028961,0.008920644537220723,624.0,0.007942633124497308,0.008713018118086831,797.0,0.007830916887030349,0.008185049544955856,977.0,0.00761386107453686,0.00613080159878822,950.0,0.007668068602092003,0.0073402903541950944,903.0,0.007675894656430923,0.006531655810896689,916.0,0.007796665669309724,0.008268472501795132,872.0,0.00797168090324616,0.009186417336433274,739.0,0.008444019991646309,0.013131119411955248,617.0,0.00859123273489962,0.014861829969748382,447.0,0.008525951953687683,0.014596977521084055,451.0,0.008297442226920915,0.012018887134437797,674.0,0.008339485202097931,0.012992814653188963,707.0,0.00847497075491732,0.013631806043693928,752.0,0.008568470507519674,0.015178046733967115,764.0,0.00832878868177564,0.013856185968537623,960.0,0.008778954677664631,0.015311791269847781,1065.0,0.00924718175317171,0.018013925780769588,1147.0,0.009545697811859561,0.021440705052034794,1008.0,0.00989572905756103,0.02321770109886736,1009.0,0.010089123035519173,0.023471392400344234,983.0,0.010231605151743327,0.025500640911829877,1048.0,0.012184370929558975,0.031243781726661497,883.0,0.011855495543041774,0.033107714958071806,904.0,0.010965580923874577,0.032133787850980304,1156.0,0.010794132357523715,0.031093145680608263,1215.0,0.010636087278562497,0.030919394593702187,1194.0,0.010472649566438948,0.03184235632166512,1198.0,0.010887290769202727,0.03225093795632243,1125.0,0.009878015241417133,0.030840060448050672,1050.0,0.00984769631393203,0.029928927291145414,861.0,0.01055815706332975,0.03361672542220895,453.0,0.011740569552171794,0.04567565358743885,305.0,0.011518986825565987,0.046422090519760206,280.0,0.01281833967074086,0.053255276285928535,229.0,,,,,,,0.01100916543061689,0.053394717031477454,228.0,0.01092163648188502,0.05218966548714779,265.0,0.01065466648818574,0.04814308409198933,222.0,,,,,,,,,,,,,,,,גני תקווה
