,CITY_ID,SHEM_YISHU,SRt_05-07,N_05-07,SRt_05-06,N_05-06,SRt_05-05,N_05-05,SRt_05-04,N_05-04,SRt_05-03,N_05-03,SRt_05-02,N_05-02,SRt_05-01,N_05-01,SRt_04-30,N_04-30,SRt_04-29,N_04-29,SRt_04-28,N_04-28,SRt_04-27,N_04-27,SRt_04-26,N_04-26,SRt_04-25,N_04-25,SRt_04-24,N_04-24,SRt_04-23,N_04-23,SRt_04-22,N_04-22,SRt_04-21,N_04-21,SRt_04-20,N_04-20,SRt_04-19,N_04-19,SRt_04-18,N_04-18,SRt_04-17,N_04-17,SRt_04-16,N_04-16,SRt_04-15,N_04-15,SRt_04-14,N_04-14,SRt_04-13,N_04-13,SRt_04-12,N_04-12,SRt_04-11,N_04-11,SRt_04-10,N_04-10,SRt_04-09,N_04-09,SRt_04-08,N_04-08,SRt_04-07,N_04-07,SRt_04-06,N_04-06,SRt_04-05,N_04-05,SRt_04-04,N_04-04,SRt_04-03,N_04-03,SRt_04-02,N_04-02,SRt_04-01,N_04-01,SRt_03-31,N_03-31,SRt_03-30,N_03-30,SRt_03-29,N_03-29,SRt_03-28,N_03-28,SRt_03-27,N_03-27,SRt_03-26,N_03-26,SRt_03-25,N_03-25,SRt_03-24,N_03-24,SRt_03-23,N_03-23,SRt_03-22,N_03-22,SRt_03-21,N_03-21
0,44.0,אשדוד,0.013098840814224395,773.0,0.014662569739275516,913.0,0.014503265519733986,915.0,0.015422033359435242,765.0,0.017965025275948125,719.0,0.018398674023801128,714.0,0.018505083818932677,724.0,0.01742437137830122,739.0,0.017718120847516443,876.0,0.018424247317076186,1004.0,0.018217525496381417,1306.0,0.019064043270767096,1298.0,0.019387033703305155,1138.0,0.018804552678959925,1156.0,0.019295614941889416,1157.0,0.020197449497990648,1000.0,0.02114016424370752,974.0,0.022254047919557752,696.0,0.02097603094015697,693.0,0.021145161870905205,798.0,0.021934060487886643,843.0,0.023202797586795988,977.0,0.02386092819849256,956.0,0.026644644226674563,1075.0,0.029370064066830934,1429.0,0.02866352401545034,1818.0,0.03021045006245714,2062.0,0.030673304148168427,2250.0,0.03182739912630431,2151.0,0.03348295178168664,2479.0,0.03296071179139974,2345.0,0.0322048075514216,2044.0,0.036308209850762135,1648.0,0.03768994478629196,1397.0,0.04177739675321563,1258.0,0.04062258975153422,1248.0,0.04091551177085652,1016.0,0.042653198134427917,1012.0,0.04450215079484954,896.0,0.04404670282672451,764.0,0.04217281574749024,715.0,0.0390013236084617,655.0,0.040012813488410855,613.0,0.04082055310687735,491.0,0.04314823721198381,571.0,0.04672888233736931,645.0,0.04894353253857723,702.0,0.04996295649732148,631.0
1,93.0,תל מונד,0.011042510476280484,347.0,0.009993905095335215,399.0,0.010064167738240303,405.0,0.011307851654641541,356.0,0.010682553468810418,342.0,0.009537320901454486,334.0,0.009310872738605534,339.0,0.009341657121502306,348.0,0.009814345660889538,372.0,0.00893787046034741,407.0,0.009161098515497405,482.0,0.007788598524804965,478.0,0.007087500205138734,435.0,0.006977712178071089,445.0,0.006752616504573199,456.0,0.006168619538647604,428.0,0.006309638087122677,413.0,0.00531990981594073,356.0,0.0050467210933453875,363.0,0.005942646320924983,383.0,0.006039145131175442,401.0,0.007152680913354194,436.0,0.006911543919059962,430.0,0.008804169277140166,440.0,0.010217195444938347,476.0,0.015602793057833707,538.0,0.01875285977998465,560.0,0.019807336503261712,564.0,0.020575218834841515,533.0,0.023821151883739223,573.0,0.023107825917923888,575.0,0.025642753873271924,550.0,0.023201333922495092,492.0,0.020335472107717117,473.0,0.020154308668627916,458.0,0.021342014195705535,449.0,0.021046585660046704,418.0,0.02430854706684622,385.0,0.022482071298073652,329.0,0.024015437293327266,267.0,0.026314833487715798,236.0,0.03354532179233653,232.0,0.03380763419556153,207.0,,,,,,,0.045572784511783586,205.0,,
2,104.0,גן יבנה,0.011321529403679776,251.0,0.010652357876109965,286.0,0.011589315230923155,286.0,0.012316827296511696,260.0,0.012970662496304363,262.0,0.011750722681946742,288.0,0.01105676759853051,286.0,0.01102327886638583,288.0,0.013964246622761987,318.0,0.012547140055449628,349.0,0.0128600676671138,419.0,0.013507765109582895,392.0,0.013526301334534077,339.0,0.01324751507745815,350.0,0.013350485027270563,362.0,0.010358601117760656,330.0,0.010148510937027167,319.0,0.00868443230209804,257.0,0.006489162772801378,272.0,0.006062430749116813,296.0,0.007473519827659689,298.0,0.009981958296918128,329.0,0.01179154662054209,326.0,0.01235168453532321,360.0,0.014823271660265605,430.0,0.021416037898021517,528.0,0.023410592304313783,552.0,0.023601261041999225,580.0,0.022231720082321136,559.0,0.024074477460138598,616.0,0.02706121539713697,598.0,0.030605606459751532,532.0,0.02865614879988331,445.0,0.02803685947574882,425.0,0.03158960827468718,420.0,0.03488099579571194,404.0,0.033637557256899084,354.0,0.03590059498781288,327.0,0.03357474715591432,289.0,0.033009376033190936,227.0,,,,,,,,,,,,,,,,
3,106.0,כפר יונה,0.014974356145425461,214.0,0.014759395395348504,249.0,0.014285463056871851,247.0,0.01564170197924643,206.0,0.018513661800799306,200.0,0.01583722196526261,212.0,0.015727485201773025,213.0,0.014947639609744373,211.0,0.016800333661479976,247.0,0.017540098147324084,285.0,0.015917179775570008,373.0,0.015262116611449935,367.0,0.015450353766000789,323.0,0.014503516808789791,328.0,0.014153366154719588,340.0,0.012271266971085958,297.0,0.011112893124369836,279.0,0.009584912301488347,216.0,0.010828265649233696,214.0,0.011427914158582717,226.0,0.012828645506405044,251.0,0.015385197175520752,287.0,0.01442596787654914,305.0,0.020550461192024336,321.0,0.02369132780779327,391.0,0.025881158803285266,473.0,0.02703286118497317,522.0,0.02794035426269117,547.0,0.028739980892710803,517.0,0.03231658049437668,552.0,0.029866064641710096,558.0,0.030305141337510073,499.0,0.027740208773760433,440.0,0.030849400385789746,437.0,0.03238179668536137,423.0,0.032266102405816705,426.0,0.03242859986156165,400.0,0.03426297072504915,380.0,0.03450616205134429,333.0,0.03851301529490932,281.0,0.03963669667774924,233.0,0.04622280641139017,211.0,,,,,,,,,0.0651313175399784,201.0,,
4,115.0,אבן יהודה,0.01248201129513719,292.0,0.011352152871962149,322.0,0.011162746658735482,327.0,0.009391062249134507,273.0,0.008258659201178192,255.0,0.008362767317373542,223.0,0.007939489265680324,225.0,0.007965676517321713,223.0,0.009598445891526511,257.0,0.010172456897583062,284.0,0.010384282171410141,341.0,0.011095107773859414,345.0,0.01106840760007559,325.0,0.010806761031342623,333.0,0.010887231294244768,355.0,0.010505293442912386,336.0,0.010268792941995978,341.0,0.009587040401268636,299.0,0.011047208394458741,286.0,0.012226893679893254,298.0,0.012249688261142413,317.0,0.012348946126682211,330.0,0.016073523952118297,319.0,0.016614935815227234,322.0,0.019966942620611994,360.0,0.018890933790737273,434.0,0.02051117109394353,475.0,0.022774954120691065,489.0,0.02506389521276735,480.0,0.02401173314372897,518.0,0.026293328241082894,522.0,0.025290109231929838,486.0,0.02487832415227952,437.0,0.022350089175671713,403.0,0.021114564542858497,384.0,0.02081040765133626,372.0,0.020796695110908932,347.0,0.019825790919718412,317.0,0.021143574684745647,278.0,0.02436362857784432,224.0,0.029322803480450958,208.0,0.03025470591603599,210.0,0.03286345427790319,206.0,,,0.03534903956845509,250.0,0.03548602218940561,290.0,0.038190301996156174,322.0,0.03836735470572673,291.0
5,127.0,קדימה-צורן,0.01271397649305017,361.0,0.014740697886873705,412.0,0.01516752211659916,412.0,0.016987586239961567,348.0,0.018718810894513934,336.0,0.01938392505096308,308.0,0.019457449197720886,321.0,0.018319484186043934,333.0,0.015291286951915017,353.0,0.014503529107508352,402.0,0.013807495289941362,476.0,0.011380353970543157,456.0,0.010219477480980847,415.0,0.009453167279479317,425.0,0.009568298036383451,434.0,0.008807738586843418,418.0,0.008570982670137025,411.0,0.00664413706246837,354.0,0.006078215437294508,364.0,0.00785051482616032,404.0,0.01060764128711253,428.0,0.012220890655212811,469.0,0.013855365659930159,470.0,0.014160086218137557,500.0,0.013914687578190258,556.0,0.01588521355160191,627.0,0.018157134712701962,668.0,0.020924085269890712,690.0,0.02138437973330324,650.0,0.02376724266293271,692.0,0.025556035152868122,660.0,0.02799486307131402,613.0,0.02767789159194131,546.0,0.027414756661557894,505.0,0.026766591515685875,497.0,0.027502911621214852,503.0,0.026609213399147468,492.0,0.027268445075403432,525.0,0.028946389905674174,471.0,0.03219811650813011,409.0,0.035017352064857135,358.0,0.036169900040330286,330.0,0.03611527886158221,313.0,0.0404776396509251,258.0,0.050597467941529826,237.0,0.051808671218193526,275.0,0.0479240636929872,334.0,0.04733362367730263,330.0
6,148.0,גני תקווה,0.011338911353761263,471.0,0.010521890071527942,533.0,0.009921527272553894,531.0,0.008820231695545607,487.0,0.012762837720981766,467.0,0.012822375114506887,426.0,0.012638759388673468,424.0,0.012193479158931226,427.0,0.011228812379454436,469.0,0.011285179140307439,530.0,0.010437299275829575,611.0,0.006696700508623253,592.0,0.00822806611154748,550.0,0.007774068785744982,567.0,0.008958660181657939,576.0,0.01025592524124113,517.0,0.013612762009355036,497.0,0.015218720884301777,420.0,0.015566709173735364,412.0,0.014759116946549338,436.0,0.016420869709810795,461.0,0.017418849390392992,495.0,0.0200334261551989,484.0,0.017939744857169378,502.0,0.019294895550798535,551.0,0.022028179381304663,642.0,0.023870845140654205,692.0,0.0254739909754979,702.0,0.02581525477819699,683.0,0.027463698506416223,772.0,0.030586125259203196,757.0,0.031707223207054464,721.0,0.033233487134423215,639.0,0.03227032792849983,598.0,0.0323729323905561,579.0,0.032688904100815756,575.0,0.033685177337214336,506.0,0.03225071209680218,469.0,0.03304496427430862,401.0,0.034652428980034566,330.0,0.04596347062297554,292.0,0.048228073115988576,268.0,0.053255276285928535,229.0,,,,,0.053394717031477454,228.0,0.05218966548714779,265.0,0.04814308409198933,222.0
7,156.0,יקנעם עילית,0.012836550014265567,297.0,0.012795937320075728,333.0,0.012673021255279084,340.0,0.012896313392816244,287.0,0.009812266211747998,262.0,0.011448598556958914,271.0,0.01090293604133214,287.0,0.011570516179062199,294.0,0.011276936433291033,313.0,0.01033962018379371,351.0,0.013623326890574496,415.0,0.013108651659078992,400.0,0.012410607479999902,351.0,0.012234654922013536,357.0,0.011401651107030519,364.0,0.010737254188155522,333.0,0.010458765458729612,318.0,0.0072076522309906035,270.0,0.007686173236220693,277.0,0.008089521495473836,281.0,0.008746540474092387,290.0,0.010455997612772544,313.0,0.015805875177637995,304.0,0.01797790344486745,326.0,0.020017994812912297,378.0,0.02459261561785161,459.0,0.02589798308982138,539.0,0.02657411955999083,563.0,0.0280422387338202,543.0,0.025617335241175997,613.0,0.027824241894124514,609.0,0.02904922380207107,578.0,0.029571873861049713,520.0,0.03316471936326796,501.0,0.03659858120816268,485.0,0.03894244173084591,466.0,0.04452526774733695,407.0,0.045988110383529346,365.0,0.04836823090414622,305.0,0.047612658461261136,241.0,,,,,,,,,,,,,,,,
8,489.0,גבעת שמואל,0.01664149656597144,474.0,0.016768188569178825,552.0,0.016507355651062428,557.0,0.015507502622577876,476.0,0.019715927840199137,424.0,0.016858020564112904,412.0,0.016092611451133,426.0,0.015632323624516827,424.0,0.014879018392636233,476.0,0.017049268277425977,540.0,0.01623931469352087,660.0,0.013805804148727433,618.0,0.013043622771914724,537.0,0.014355922641537148,544.0,0.014704627116514123,556.0,0.01571419027606256,487.0,0.01397921411958281,457.0,0.016687567143567596,349.0,0.019296778743039807,343.0,0.019870993596622987,377.0,0.01970453392166319,388.0,0.019792762608388588,447.0,0.02114436381741183,445.0,0.022990690061627895,464.0,0.026359512328954386,531.0,0.027731553180837303,651.0,0.028907777498939906,685.0,0.029230771501530185,703.0,0.030104972108891192,659.0,0.03116396353128375,747.0,0.030517100813620746,752.0,0.02844328438089648,704.0,0.027147746917953457,632.0,0.025222525404929818,604.0,0.02732743541035529,585.0,0.028985329632153625,581.0,0.029003214574128845,500.0,0.03127874262652594,471.0,0.032403770190783006,410.0,0.03627289678230843,314.0,0.041056250541054135,296.0,0.04334977694384972,284.0,0.0442840803792249,269.0,0.0480514819564866,253.0,0.0488910299202053,286.0,0.047984845183859405,339.0,0.04534278182389684,383.0,0.04868250104935657,341.0
9,695.0,מבשרת ציון,0.010871204781755284,466.0,0.010079637463835061,514.0,0.010319290731749536,489.0,0.00981023786858354,465.0,0.009830388503013468,448.0,0.007448772998303023,429.0,0.007225109402925095,442.0,0.006853530436611813,446.0,0.008361189744884326,458.0,0.00788580470842766,505.0,0.00928170640024901,548.0,0.008331850793743446,533.0,0.007364653640447398,507.0,0.008262288520768657,520.0,0.007751040564351958,552.0,0.006248781632026633,543.0,0.005323912811620814,568.0,0.0038625147153870313,547.0,0.0038088031298479305,576.0,0.005257980286373142,612.0,0.005692133581400223,658.0,0.007971606564274189,661.0,0.008739966178123596,671.0,0.01134860473345093,670.0,0.013072581217000643,707.0,0.015593465575272417,763.0,0.016328748654558637,801.0,0.019086981314289687,777.0,0.018492444514946704,755.0,0.020276973832630912,790.0,0.02193409527438835,783.0,0.024181260983954032,741.0,0.02619845143067666,682.0,0.027366252922633394,651.0,0.02591267313247626,657.0,0.026437105926555345,661.0,0.02675180364763427,652.0,0.025922670402018316,622.0,0.02531409144750674,546.0,0.024584100746703048,465.0,0.03025106871820677,408.0,0.035289219787495434,387.0,0.04011381958247058,334.0,0.04745573834608473,272.0,0.048869043077728984,265.0,0.047919414500787336,323.0,0.049685626320385444,344.0,0.051659754767053256,312.0
