,age_group,gender,symptom_well,symptom_shortness_of_breath,symptom_runny_nose,symptom_cough,symptom_fatigue,symptom_nausea_vomiting,symptom_muscle_pain,symptom_other_pain,symptom_sore_throat,symptom_cough_dry,symptom_cough_moist,symptom_headache,symptom_diarrhea,symptom_fever,symptom_chills,symptom_confusion,symptom_smell_or_taste_loss,condition_any,condition_diabetes,condition_hypertention,condition_ischemic_heart_disease,condition_lung_disease,condition_kidney_disease,condition_cancer,condition_immune_system_suppression,N
0,25,0,0.9291976367448066,0.017629121402706307,0.09576901086335049,0.09233847913093196,0.0877644368210406,0.01781970649895178,0.012578616352201259,0.0039069944730322085,0.06451305507909282,0.0476462740613684,0.05107680579378693,0.015532685344006099,0.02506194015627978,0.00238231370306842,0.010768057937869259,0.005431675242995998,0.004955212502382313,0.08747855917667238,0.009910425004764627,0.0072422336573279966,0.006289308176100629,0.045549838002668194,0.0016199733180865257,0.004002287021154946,0.019916142557651992,10494
1,25,1,0.9450168208578638,0.016400336417157275,0.09093776282590411,0.08116063919259882,0.057926829268292686,0.007569386038687973,0.008200168208578638,0.0027333894028595458,0.04352396972245585,0.04015979814970563,0.04941126997476871,0.011248948696383515,0.022392767031118588,0.003259041211101766,0.0055719091673675355,0.005887300252312868,0.0055719091673675355,0.09251471825063078,0.007148864592094197,0.014087468460891506,0.008725820016820858,0.0486753574432296,0.0021026072329688814,0.00515138772077376,0.013141295206055508,9512
2,35,0,0.9295235289785698,0.017895279475660948,0.07614699167832682,0.09117018926283231,0.07504234479711319,0.013550335076220634,0.0114146844392076,0.0036085131452978864,0.05987186096177922,0.04934089402754253,0.05155018778996981,0.013255762574563665,0.017821636350246705,0.0019147212607703071,0.010310037557993961,0.0030930112673981883,0.006038736283967892,0.11289491126003387,0.020178216363502467,0.016716989469033067,0.008174386920980926,0.04595331025848737,0.0019883643861845495,0.014434052581191546,0.018116208851903674,13579
3,35,1,0.947215777262181,0.016407026847862115,0.0769804441498177,0.08510109380178986,0.04698375870069606,0.004474643685780577,0.008369240967848857,0.0025687769307258866,0.04656943984090156,0.04366920782234007,0.048972489227709644,0.0075406032482598605,0.018312893602916804,0.0029830957905203847,0.00580046403712297,0.0038117335101093804,0.0037288697381504805,0.10275107722903547,0.015992707988067616,0.026019224395094465,0.008037785880013259,0.039608882996354,0.0018230029830957905,0.00969506131919125,0.012595293337752734,12068
4,45,0,0.9412219644238206,0.016030373338958025,0.05596568937636223,0.07537087815510089,0.05568445475638051,0.008507347254447023,0.014342965619067708,0.003163889474794347,0.04809112001687408,0.04331013147718484,0.038107291007523025,0.011460310764255079,0.012796175209168249,0.0015467904098994587,0.011811854039232229,0.002109259649862898,0.0055543837446389655,0.18174787316318639,0.03726358714757787,0.0530830345215496,0.014624200239049426,0.05477044224143992,0.002249876959853758,0.03360753708781551,0.02060043591366097,14223
5,45,1,0.9565457558460688,0.010955625115080097,0.048886024673172525,0.06499723807770208,0.03498434910697846,0.0032222426809059104,0.007549254280979562,0.002946050451113975,0.037101822868716626,0.03461609280058921,0.03572086171975695,0.006076229055422574,0.01224452218744246,0.002393665991530105,0.0061682931320198855,0.002025409685140858,0.0028539863745166635,0.19904253360338794,0.04686061498803167,0.0856195912354999,0.027250966672804272,0.04640029460504511,0.003406370834100534,0.01703185417050267,0.014085803719388695,10862
6,55,0,0.9512177230046949,0.01210387323943662,0.0371919014084507,0.0658744131455399,0.037632042253521125,0.006602112676056338,0.010783450704225352,0.003301056338028169,0.04085974178403756,0.035578051643192485,0.03469776995305164,0.007849178403755869,0.009242957746478873,0.001613849765258216,0.010636737089201879,0.0029342723004694834,0.0037411971830985913,0.30985915492957744,0.07115610328638497,0.14656690140845072,0.027435446009389672,0.0559712441314554,0.003594483568075117,0.06829518779342723,0.02523474178403756,13632
7,55,1,0.9674733570159858,0.010435168738898756,0.037300177619893425,0.05661634103019538,0.02575488454706927,0.003108348134991119,0.005661634103019538,0.0026642984014209592,0.02941829484902309,0.02930728241563055,0.03008436944937833,0.004107460035523979,0.008880994671403197,0.0016651865008880994,0.004440497335701598,0.002220248667850799,0.002775310834813499,0.37688721136767317,0.11867229129662522,0.21059058614564832,0.07904085257548846,0.0497335701598579,0.0066607460035523975,0.02886323268206039,0.020315275310834813,9008
8,65,0,0.9673285452753133,0.00837910153499507,0.02760174623292494,0.04858470637938318,0.02379946486410365,0.0040839318405858326,0.008449514152936205,0.0023940290099985916,0.026263906492043375,0.025137304604985214,0.025841430784396564,0.004224757076468103,0.0068300239402901,0.0008449514152936206,0.00640754823264329,0.001337839740881566,0.0033093930432333473,0.4570483030559076,0.11484297986199127,0.26763836079425435,0.055273905083791014,0.05851288550908323,0.005562596817349669,0.09878890297141248,0.02774257146880721,14202
9,65,1,0.9743175116522401,0.006468182250546942,0.02625321031104347,0.040235898411490535,0.018072862170645868,0.0018072862170645868,0.005326738323979834,0.0017121658898506611,0.015504613335869876,0.01845334347950157,0.022828878531342148,0.0021877675259202893,0.006658422904974793,0.0017121658898506611,0.002473128507562066,0.0016170455626367355,0.002758489489203843,0.5910777133073338,0.1952820317701893,0.37410824693236944,0.1644630457528774,0.04984305146009702,0.014172928754874917,0.07210120802815562,0.02121183296870541,10513
10,75,0,0.9684178092743799,0.007240794946849484,0.01925743336928054,0.03651209366815591,0.028346941919580957,0.00462178400862733,0.006778616545986751,0.006316438145124018,0.017562779232783855,0.018641195501463564,0.01956555230318903,0.002156832537359421,0.005700200277307041,0.0010784162686797104,0.0040055461408103525,0.004313665074718842,0.0016946541364966877,0.607148359266677,0.15067015868125097,0.41919580958249886,0.11015251887228471,0.06408873825296564,0.01309505469111077,0.13218302264674164,0.02803882298567247,6491
11,75,1,0.978729869340626,0.0068368277119416595,0.020662412640534793,0.029322394408994226,0.023093284715891827,0.001671224551807961,0.004709814646004254,0.005165603160133698,0.01017927681555758,0.013521725919173503,0.0176238225463385,0.001671224551807961,0.005165603160133698,0.00045578851412944393,0.0022789425706472195,0.003342449103615922,0.0022789425706472195,0.7146763901549681,0.2301731996353692,0.48207231844424187,0.2534184138559708,0.06137951990276512,0.03403220905499848,0.11744150714068673,0.023397143725311455,6582
